Unnamed: 0,date,cases,deaths,daily_cases,daily_deaths,ratio_dth_case
4113,2021-09-24,4694120,68178,2667.0,58.0,0.021747281589801274
4114,2021-09-25,4695914,68210,1794.0,32.0,0.017837235228539576
4115,2021-09-26,4713540,68364,17626.0,154.0,0.008737092930897538
4116,2021-09-27,4721138,68438,7598.0,74.0,0.009739405106607002
4117,2021-09-28,4728464,68546,7326.0,108.0,0.014742014742014743
4118,2021-09-29,4735187,68693,6723.0,147.0,0.02186523873270861
4119,2021-09-30,4743696,68812,8509.0,119.0,0.013985192149488776
4120,2021-10-01,4746399,68842,2703.0,30.0,0.011098779134295227
4121,2021-10-02,4747982,68859,1583.0,17.0,0.010739102969046115
4122,2021-10-03,4762795,69033,14813.0,174.0,0.011746438938769999
4123,2021-10-04,4768335,69070,5540.0,37.0,0.006678700361010831
4124,2021-10-05,4774204,69202,5869.0,132.0,0.022491054694155733
4125,2021-10-06,4779676,69365,5472.0,163.0,0.029788011695906433
4126,2021-10-07,4786753,69521,7077.0,156.0,0.022043238660449344
4127,2021-10-08,4789017,69574,2264.0,53.0,0.023409893992932862
4128,2021-10-09,4790385,69598,1368.0,24.0,0.017543859649122806
4129,2021-10-10,4803744,69719,13359.0,121.0,0.009057564188936298
4130,2021-10-11,4808648,69785,4904.0,66.0,0.013458401305057096
4131,2021-10-12,4814245,69894,5597.0,109.0,0.019474718599249596
4132,2021-10-13,4818729,70037,4484.0,143.0,0.03189116859946477
4133,2021-10-14,4824208,70172,5479.0,135.0,0.02463953276145282
4134,2021-10-15,4827565,70212,3357.0,40.0,0.011915400655347037
4135,2021-10-16,4827775,70216,210.0,4.0,0.01904761904761905
4136,2021-10-17,4841360,70409,13585.0,193.0,0.014206845785793154
4137,2021-10-18,4846983,70468,5623.0,59.0,0.010492619598079317
4138,2021-10-19,4851811,70874,4828.0,406.0,0.08409279204639603
4139,2021-10-20,4857692,71032,5881.0,158.0,0.026866179221220882
4140,2021-10-21,4864469,71202,6777.0,170.0,0.025084845801977278
4141,2021-10-22,4866520,71328,2051.0,126.0,0.06143344709897611
4142,2021-10-23,4867903,71341,1383.0,13.0,0.009399855386840203
4143,2021-10-24,4869039,71350,1136.0,9.0,0.007922535211267605
4144,2021-10-25,4889056,71443,20017.0,93.0,0.004646050856771744
4145,2021-10-26,4894193,71629,5137.0,186.0,0.036207903445590814
4146,2021-10-27,4899761,71768,5568.0,139.0,0.024964080459770114
4147,2021-10-28,4907361,71848,7600.0,80.0,0.010526315789473684
4148,2021-10-29,4909898,71952,2537.0,104.0,0.04099329917225069
4149,2021-10-30,4911492,71941,1594.0,-11.0,-0.006900878293601004
4150,2021-10-31,4924624,71950,13132.0,9.0,0.0006853487663722206
4151,2021-11-01,4932039,72111,7415.0,161.0,0.021712744436952123
4152,2021-11-02,4936714,72188,4675.0,77.0,0.01647058823529412
4153,2021-11-03,4942208,72281,5494.0,93.0,0.016927557335274845
4154,2021-11-04,4950486,72366,8278.0,85.0,0.010268180719980672
4155,2021-11-05,4953650,72489,3164.0,123.0,0.0388748419721871
4156,2021-11-06,4955426,72511,1776.0,22.0,0.012387387387387387
4157,2021-11-07,4967855,72525,12429.0,14.0,0.001126397940300909
4158,2021-11-08,4975097,72644,7242.0,119.0,0.01643192488262911
4159,2021-11-09,4979861,72681,4764.0,37.0,0.007766582703610411
4160,2021-11-10,4984948,72857,5087.0,176.0,0.03459799488893257
4161,2021-11-11,4987242,72960,2294.0,103.0,0.044899738448125545
4162,2021-11-12,4997008,73014,9766.0,54.0,0.005529387671513414
4163,2021-11-13,4999890,73105,2882.0,91.0,0.03157529493407356
4164,2021-11-14,5006309,73111,6419.0,6.0,0.0009347250350521888
4165,2021-11-15,5010831,73233,4522.0,122.0,0.02697921273772667
4166,2021-11-16,5016187,73299,5356.0,66.0,0.012322628827483197
4167,2021-11-17,5021421,73405,5234.0,106.0,0.020252197172334733
4168,2021-11-18,5027169,73552,5748.0,147.0,0.0255741127348643
