,state,date,cases,deaths
4200,California,2021-09-22,4683936,67970
4201,California,2021-09-23,4691476,68120
4202,California,2021-09-24,4694143,68178
4203,California,2021-09-25,4695937,68210
4204,California,2021-09-26,4713563,68364
4205,California,2021-09-27,4721162,68438
4206,California,2021-09-28,4728488,68546
4207,California,2021-09-29,4735208,68693
4208,California,2021-09-30,4743715,68812
4209,California,2021-10-01,4746418,68842
4210,California,2021-10-02,4748001,68859
4211,California,2021-10-03,4762814,69033
4212,California,2021-10-04,4768356,69070
4213,California,2021-10-05,4774227,69202
4214,California,2021-10-06,4779700,69365
4215,California,2021-10-07,4786776,69521
4216,California,2021-10-08,4789038,69574
4217,California,2021-10-09,4790404,69598
4218,California,2021-10-10,4803763,69719
4219,California,2021-10-11,4808668,69785
4220,California,2021-10-12,4814264,69894
4221,California,2021-10-13,4818747,70037
4222,California,2021-10-14,4824227,70172
4223,California,2021-10-15,4827586,70212
4224,California,2021-10-16,4827796,70216
4225,California,2021-10-17,4841380,70409
4226,California,2021-10-18,4847004,70468
4227,California,2021-10-19,4851834,70874
4228,California,2021-10-20,4857717,71032
4229,California,2021-10-21,4864492,71202
4230,California,2021-10-22,4866544,71328
4231,California,2021-10-23,4867926,71341
4232,California,2021-10-24,4869061,71350
4233,California,2021-10-25,4889081,71443
4234,California,2021-10-26,4894217,71629
4235,California,2021-10-27,4899785,71768
4236,California,2021-10-28,4907383,71848
4237,California,2021-10-29,4909921,71952
4238,California,2021-10-30,4911515,71941
4239,California,2021-10-31,4924646,71950
4240,California,2021-11-01,4932062,72111
4241,California,2021-11-02,4936735,72188
4242,California,2021-11-03,4942231,72281
4243,California,2021-11-04,4950510,72366
4244,California,2021-11-05,4953673,72489
4245,California,2021-11-06,4955449,72511
4246,California,2021-11-07,4967878,72525
4247,California,2021-11-08,4975123,72644
4248,California,2021-11-09,4979890,72681
4249,California,2021-11-10,4984979,72857
4250,California,2021-11-11,4987272,72960
4251,California,2021-11-12,4997039,73014
4252,California,2021-11-13,4999922,73105
4253,California,2021-11-14,5006340,73111
4254,California,2021-11-15,5010862,73233
4255,California,2021-11-16,5016219,73299
4256,California,2021-11-17,5021456,73405
4257,California,2021-11-18,5027203,73552
4258,California,2021-11-19,5030100,73694
4259,California,2021-11-20,5032067,73720
4260,California,2021-11-21,5042293,73731
4261,California,2021-11-22,5046989,73856
4262,California,2021-11-23,5051580,73939
4263,California,2021-11-24,5053691,74093
4264,California,2021-11-25,5053789,74098
4265,California,2021-11-26,5056012,74129
4266,California,2021-11-27,5056792,74152
4267,California,2021-11-28,5071615,74159
4268,California,2021-11-29,5077233,74367
4269,California,2021-11-30,5082937,74473
4270,California,2021-12-01,5088253,74561
4271,California,2021-12-02,5096576,74669
4272,California,2021-12-03,5100053,74781
4273,California,2021-12-04,5102543,74800
4274,California,2021-12-05,5117584,74802
4275,California,2021-12-06,5124788,74911
4276,California,2021-12-07,5129576,74953
4277,California,2021-12-08,5137774,75080
4278,California,2021-12-09,5144513,75178
4279,California,2021-12-10,5147895,75247
4280,California,2021-12-11,5149862,75270
4281,California,2021-12-12,5162593,75275
4282,California,2021-12-13,5168893,75378
4283,California,2021-12-14,5175267,75428
4284,California,2021-12-15,5181302,75517
4285,California,2021-12-16,5189388,75603
4286,California,2021-12-17,5194324,75679
4287,California,2021-12-18,5198280,75718
4288,California,2021-12-19,5215082,75727
4289,California,2021-12-20,5225651,75826
4290,California,2021-12-21,5237537,75878
4291,California,2021-12-22,5253387,75958
4292,California,2021-12-23,5274266,76054
4293,California,2021-12-24,5287308,76126
4294,California,2021-12-25,5287938,76126
4295,California,2021-12-26,5309955,76139
4296,California,2021-12-27,5358810,76175
4297,California,2021-12-28,5388609,76255
4298,California,2021-12-29,5428574,76336
4299,California,2021-12-30,5483387,76437
4300,California,2021-12-31,5519403,76520
