,date,cases,deaths
4148,2021-11-08,4975097,72644
4149,2021-11-09,4979861,72681
4150,2021-11-10,4984948,72857
4151,2021-11-11,4987242,72960
4152,2021-11-12,4997008,73014
4153,2021-11-13,4999890,73105
4154,2021-11-14,5006309,73111
4155,2021-11-15,5010831,73233
4156,2021-11-16,5016187,73299
4157,2021-11-17,5021421,73405
4158,2021-11-18,5027169,73552
4159,2021-11-19,5030066,73694
4160,2021-11-20,5032033,73720
4161,2021-11-21,5042258,73731
4162,2021-11-22,5046953,73856
4163,2021-11-23,5051544,73939
4164,2021-11-24,5053658,74093
4165,2021-11-25,5053756,74098
4166,2021-11-26,5055978,74129
4167,2021-11-27,5056758,74152
4168,2021-11-28,5071584,74159
4169,2021-11-29,5077204,74367
4170,2021-11-30,5082906,74473
4171,2021-12-01,5088225,74561
4172,2021-12-02,5096550,74669
4173,2021-12-03,5100028,74781
4174,2021-12-04,5102519,74800
4175,2021-12-05,5117559,74802
4176,2021-12-06,5124764,74911
4177,2021-12-07,5129546,74953
4178,2021-12-08,5137742,75080
4179,2021-12-09,5144479,75178
4180,2021-12-10,5147860,75247
4181,2021-12-11,5149826,75270
4182,2021-12-12,5162558,75275
4183,2021-12-13,5168860,75378
4184,2021-12-14,5175234,75428
4185,2021-12-15,5181275,75517
4186,2021-12-16,5189368,75603
4187,2021-12-17,5194304,75679
4188,2021-12-18,5198261,75718
4189,2021-12-19,5215062,75727
4190,2021-12-20,5225636,75826
4191,2021-12-21,5237529,75878
4192,2021-12-22,5253383,75958
4193,2021-12-23,5274281,76054
4194,2021-12-24,5287338,76126
4195,2021-12-25,5287989,76126
4196,2021-12-26,5310033,76139
4197,2021-12-27,5358928,76175
4198,2021-12-28,5388733,76255
4199,2021-12-29,5428745,76336
4200,2021-12-30,5483646,76437
4201,2021-12-31,5520061,76520
4202,2022-01-01,5521930,76520
4203,2022-01-02,5570296,76523
4204,2022-01-03,5711022,76540
4205,2022-01-04,5794287,76634
4206,2022-01-05,5853343,76760
4207,2022-01-06,5968136,76792
4208,2022-01-07,6030508,77026
4209,2022-01-08,6067871,77043
4210,2022-01-09,6266082,77056
4211,2022-01-10,6398359,77203
4212,2022-01-11,6550521,77226
4213,2022-01-12,6663942,77360
4214,2022-01-13,6812319,77507
4215,2022-01-14,6878376,77657
4216,2022-01-15,6922197,77723
4217,2022-01-16,7129251,77774
4218,2022-01-17,7230934,77938
4219,2022-01-18,7310922,78013
4220,2022-01-19,7438991,78101
4221,2022-01-20,7573274,78307
4222,2022-01-21,7651274,78482
4223,2022-01-22,7691982,78553
4224,2022-01-23,7871001,78616
4225,2022-01-24,7978948,78798
4226,2022-01-25,8071737,78887
4227,2022-01-26,8136789,79139
4228,2022-01-27,8225088,79400
4229,2022-01-28,8265094,79689
4230,2022-01-29,8287541,79764
4231,2022-01-30,8400927,79801
4232,2022-01-31,8448623,80044
4233,2022-02-01,8489398,80176
4234,2022-02-02,8521024,80497
4235,2022-02-03,8572229,80678
4236,2022-02-04,8594422,80917
4237,2022-02-05,8604684,81001
4238,2022-02-06,8638461,81065
4239,2022-02-07,8684246,81350
4240,2022-02-08,8754891,81541
4241,2022-02-09,8767228,81884
4242,2022-02-10,8788257,82122
4243,2022-02-11,8798006,82418
4244,2022-02-12,8802666,82502
