Unnamed: 0,state,date,cases,deaths,daily_cases,daily_deaths,ratio_dth_case
4587,California,2021-11-27,5056883,74117,789.0,26.0,0.032953105196451206
4588,California,2021-11-28,5071714,74125,14831.0,8.0,0.000539410693817005
4589,California,2021-11-29,5077314,74332,5600.0,207.0,0.03696428571428571
4590,California,2021-11-30,5083021,74439,5707.0,107.0,0.018748904853688454
4591,California,2021-12-01,5088337,74528,5316.0,89.0,0.01674191121143717
4592,California,2021-12-02,5096668,74630,8331.0,102.0,0.012243428159884768
4593,California,2021-12-03,5100151,74739,3483.0,109.0,0.031294860752225095
4594,California,2021-12-04,5102646,74760,2495.0,21.0,0.008416833667334669
4595,California,2021-12-05,5117695,74763,15049.0,3.0,0.00019934879393979665
4596,California,2021-12-06,5124867,74867,7172.0,104.0,0.014500836586726157
4597,California,2021-12-07,5129664,74909,4797.0,42.0,0.008755472170106316
4598,California,2021-12-08,5137860,75033,8196.0,124.0,0.015129331381161543
4599,California,2021-12-09,5144589,75123,6729.0,90.0,0.013374944271065538
4600,California,2021-12-10,5147974,75191,3385.0,68.0,0.020088626292466764
4601,California,2021-12-11,5149942,75215,1968.0,24.0,0.012195121951219513
4602,California,2021-12-12,5162673,75222,12731.0,7.0,0.0005498389757285367
4603,California,2021-12-13,5168959,75326,6286.0,104.0,0.01654470251352211
4604,California,2021-12-14,5175327,75375,6368.0,49.0,0.007694723618090453
4605,California,2021-12-15,5181371,75465,6044.0,90.0,0.014890800794176042
4606,California,2021-12-16,5189454,75551,8083.0,86.0,0.010639614004701224
4607,California,2021-12-17,5194401,75627,4947.0,76.0,0.015362846169395592
4608,California,2021-12-18,5198362,75667,3961.0,40.0,0.01009845998485231
4609,California,2021-12-19,5215172,75678,16810.0,11.0,0.0006543723973825104
4610,California,2021-12-20,5225748,75777,10576.0,99.0,0.009360816944024205
4611,California,2021-12-21,5237633,75831,11885.0,54.0,0.004543542280185107
4612,California,2021-12-22,5253464,75914,15831.0,83.0,0.005242877897795465
4613,California,2021-12-23,5274364,76010,20900.0,96.0,0.004593301435406699
4614,California,2021-12-24,5287432,76087,13068.0,77.0,0.005892255892255892
4615,California,2021-12-25,5288068,76088,636.0,1.0,0.0015723270440251573
4616,California,2021-12-26,5310107,76101,22039.0,13.0,0.0005898634239303054
4617,California,2021-12-27,5359005,76140,48898.0,39.0,0.0007975786330729273
4618,California,2021-12-28,5388786,76221,29781.0,81.0,0.0027198549410698096
4619,California,2021-12-29,5428730,76299,39944.0,78.0,0.0019527338273583016
4620,California,2021-12-30,5483621,76395,54891.0,96.0,0.0017489205880745478
4621,California,2021-12-31,5519640,76478,36019.0,83.0,0.002304339376440212
4622,California,2022-01-01,5521292,76480,1652.0,2.0,0.0012106537530266344
4623,California,2022-01-02,5568786,76485,47494.0,5.0,0.00010527645597338611
4624,California,2022-01-03,5708750,76505,139964.0,20.0,0.00014289388699951415
4625,California,2022-01-04,5791565,76592,82815.0,87.0,0.001050534323492121
4626,California,2022-01-05,5850166,76714,58601.0,122.0,0.0020818757359089436
4627,California,2022-01-06,5964731,76744,114565.0,30.0,0.0002618600794308908
4628,California,2022-01-07,6026185,76973,61454.0,229.0,0.0037263644351872944
4629,California,2022-01-08,6063175,76991,36990.0,18.0,0.00048661800486618007
4630,California,2022-01-09,6260463,77004,197288.0,13.0,6.589351607801793e-05
4631,California,2022-01-10,6392139,77152,131676.0,148.0,0.0011239709590206263
4632,California,2022-01-11,6544005,77175,151866.0,23.0,0.00015144930399167686
4633,California,2022-01-12,6657139,77309,113134.0,134.0,0.001184436155355596
4634,California,2022-01-13,6805587,77454,148448.0,145.0,0.000976773011424876
4635,California,2022-01-14,6871836,77604,66249.0,150.0,0.002264185119775393
4636,California,2022-01-15,6915684,77672,43848.0,68.0,0.0015508118956394819
4637,California,2022-01-16,7122804,77724,207120.0,52.0,0.0002510621861722673
4638,California,2022-01-17,7224420,77892,101616.0,168.0,0.0016532829475673122
4639,California,2022-01-18,7304197,77967,79777.0,75.0,0.0009401205861338481
4640,California,2022-01-19,7432195,78055,127998.0,88.0,0.0006875107423553493
4641,California,2022-01-20,7566711,78262,134516.0,207.0,0.0015388503969787982
4642,California,2022-01-21,7644910,78437,78199.0,175.0,0.0022378802797989746
4643,California,2022-01-22,7685723,78508,40813.0,71.0,0.0017396417808051357
4644,California,2022-01-23,7864792,78577,179069.0,69.0,0.00038532632672321843
4645,California,2022-01-24,7972970,78759,108178.0,182.0,0.001682412320434839
4646,California,2022-01-25,8065963,78845,92993.0,86.0,0.0009248007914574216
4647,California,2022-01-26,8130523,79099,64560.0,254.0,0.0039343246592317225
4648,California,2022-01-27,8218929,79365,88406.0,266.0,0.0030088455534692214
4649,California,2022-01-28,8259148,79657,40219.0,292.0,0.007260250130535319
4650,California,2022-01-29,8281749,79736,22601.0,79.0,0.0034954205566125394
4651,California,2022-01-30,8395171,79779,113422.0,43.0,0.0003791151628431874
4652,California,2022-01-31,8442893,80023,47722.0,244.0,0.00511294581115628
4653,California,2022-02-01,8483773,80163,40880.0,140.0,0.003424657534246575
4654,California,2022-02-02,8515434,80477,31661.0,314.0,0.009917564195698178
4655,California,2022-02-03,8566676,80654,51242.0,177.0,0.0034541977284259008
4656,California,2022-02-04,8589061,80888,22385.0,234.0,0.010453428635246818
4657,California,2022-02-05,8599566,80980,10505.0,92.0,0.008757734412184673
4658,California,2022-02-06,8633488,81047,33922.0,67.0,0.0019751193915453096
4659,California,2022-02-07,8679733,81335,46245.0,288.0,0.006227700291923451
4660,California,2022-02-08,8751568,81511,71835.0,176.0,0.002450059163360479
4661,California,2022-02-09,8765471,81851,13903.0,340.0,0.024455153563978996
4662,California,2022-02-10,8787872,82088,22401.0,237.0,0.010579884826570242
4663,California,2022-02-11,8798722,82389,10850.0,301.0,0.027741935483870966
4664,California,2022-02-12,8803756,82478,5034.0,89.0,0.017679777512912196
4665,California,2022-02-13,8833119,82539,29363.0,61.0,0.0020774444028198755
4666,California,2022-02-14,8846724,82914,13605.0,375.0,0.027563395810363836
4667,California,2022-02-15,8857726,83057,11002.0,143.0,0.012997636793310308
4668,California,2022-02-16,8874200,83339,16474.0,282.0,0.017117882724292825
4669,California,2022-02-17,8889146,83562,14946.0,223.0,0.014920380034791918
4670,California,2022-02-18,8896679,83835,7533.0,273.0,0.0362405416168857
4671,California,2022-02-19,8900059,83920,3380.0,85.0,0.02514792899408284
4672,California,2022-02-20,8902850,83978,2791.0,58.0,0.020781082049444642
4673,California,2022-02-21,8926160,84004,23310.0,26.0,0.0011154011154011153
4674,California,2022-02-22,8935808,84342,9648.0,338.0,0.03503316749585406
4675,California,2022-02-23,8945785,84439,9977.0,97.0,0.009722361431291971
4676,California,2022-02-24,8959607,84692,13822.0,253.0,0.018304152799884243
4677,California,2022-02-25,8963947,84935,4340.0,243.0,0.05599078341013825
4678,California,2022-02-26,8966242,84999,2295.0,64.0,0.027886710239651415
4679,California,2022-02-27,8976989,85000,10747.0,1.0,9.304922303898763e-05
4680,California,2022-02-28,8984886,85418,7897.0,418.0,0.05293149297201469
4681,California,2022-03-01,8989212,85506,4326.0,88.0,0.02034211742949607
4682,California,2022-03-02,8996264,85773,7052.0,267.0,0.037861599546228024
4683,California,2022-03-03,9003783,85967,7519.0,194.0,0.02580130336480915
4684,California,2022-03-04,9007378,86171,3595.0,204.0,0.05674547983310153
4685,California,2022-03-05,9008818,86219,1440.0,48.0,0.03333333333333333
4686,California,2022-03-06,9015291,86220,6473.0,1.0,0.0001544878727019929
4687,California,2022-03-07,9021999,86556,6708.0,336.0,0.05008944543828265
4688,California,2022-03-08,9025439,86624,3440.0,68.0,0.019767441860465116
4689,California,2022-03-09,9030042,86830,4603.0,206.0,0.04475342168151206
4690,California,2022-03-10,9035421,87000,5379.0,170.0,0.031604387432608294
4691,California,2022-03-11,9038145,87142,2724.0,142.0,0.052129221732745964
4692,California,2022-03-12,9039770,87193,1625.0,51.0,0.031384615384615386
4693,California,2022-03-13,9044924,87194,5154.0,1.0,0.00019402405898331392
4694,California,2022-03-14,9049763,87492,4839.0,298.0,0.061582971688365365
4695,California,2022-03-15,9051607,87535,1844.0,43.0,0.023318872017353578
4696,California,2022-03-16,9055327,87679,3720.0,144.0,0.03870967741935484
4697,California,2022-03-17,9061476,87823,6149.0,144.0,0.023418442023093185
4698,California,2022-03-18,9065685,87942,4209.0,119.0,0.028272748871465907
4699,California,2022-03-19,9068946,87963,3261.0,21.0,0.006439742410303588
4700,California,2022-03-20,9073604,87965,4658.0,2.0,0.00042936882782310007
4701,California,2022-03-21,9079112,88151,5508.0,186.0,0.03376906318082789
4702,California,2022-03-22,9082126,88193,3014.0,42.0,0.013934970139349702
4703,California,2022-03-23,9086165,88294,4039.0,101.0,0.02500618965090369
4704,California,2022-03-24,9089727,88419,3562.0,125.0,0.03509264458169568
4705,California,2022-03-25,9091694,88522,1967.0,103.0,0.05236400610066091
4706,California,2022-03-26,9092734,88541,1040.0,19.0,0.01826923076923077
4707,California,2022-03-27,9096123,88541,3389.0,0.0,0.0
4708,California,2022-03-28,9098944,88647,2821.0,106.0,0.037575327897908545
4709,California,2022-03-29,9100801,88663,1857.0,16.0,0.008616047388260635
4710,California,2022-03-30,9104593,88775,3792.0,112.0,0.029535864978902954
4711,California,2022-03-31,9109128,88844,4535.0,69.0,0.015214994487320837
4712,California,2022-04-01,9111283,88905,2155.0,61.0,0.028306264501160094
4713,California,2022-04-02,9111364,88905,81.0,0.0,0.0
4714,California,2022-04-03,9111434,88906,70.0,1.0,0.014285714285714285
4715,California,2022-04-04,9118445,88946,7011.0,40.0,0.005705320211096848
4716,California,2022-04-05,9120994,89045,2549.0,99.0,0.03883876029815614
4717,California,2022-04-06,9122333,89111,1339.0,66.0,0.04929051530993279
4718,California,2022-04-07,9130116,89135,7783.0,24.0,0.0030836438391365797
4719,California,2022-04-08,9135223,89246,5107.0,111.0,0.021734873702760917
4720,California,2022-04-09,9135319,89246,96.0,0.0,0.0
4721,California,2022-04-10,9135441,89246,122.0,0.0,0.0
4722,California,2022-04-11,9138371,89290,2930.0,44.0,0.015017064846416382
4723,California,2022-04-12,9147379,89315,9008.0,25.0,0.002775310834813499
4724,California,2022-04-13,9148549,89437,1170.0,122.0,0.10427350427350428
4725,California,2022-04-14,9155839,89443,7290.0,6.0,0.0008230452674897119
