index,date,cases,deaths
4202,2022-01-01,5521930,76520
4203,2022-01-02,5570296,76523
4204,2022-01-03,5711022,76540
4205,2022-01-04,5794287,76634
4206,2022-01-05,5853343,76760
4207,2022-01-06,5968136,76792
4208,2022-01-07,6030508,77026
4209,2022-01-08,6067871,77043
4210,2022-01-09,6266082,77056
4211,2022-01-10,6398359,77203
4212,2022-01-11,6550521,77226
4213,2022-01-12,6663942,77360
4214,2022-01-13,6812319,77507
4215,2022-01-14,6878376,77657
4216,2022-01-15,6922197,77723
4217,2022-01-16,7129251,77774
4218,2022-01-17,7230934,77938
4219,2022-01-18,7310922,78013
4220,2022-01-19,7438991,78101
4221,2022-01-20,7573274,78307
4222,2022-01-21,7651274,78482
4223,2022-01-22,7691982,78553
4224,2022-01-23,7871001,78616
4225,2022-01-24,7978948,78798
4226,2022-01-25,8071737,78887
4227,2022-01-26,8136789,79139
4228,2022-01-27,8225088,79400
4229,2022-01-28,8265094,79689
4230,2022-01-29,8287541,79764
4231,2022-01-30,8400927,79801
4232,2022-01-31,8448623,80044
4233,2022-02-01,8489398,80176
4234,2022-02-02,8521024,80497
4235,2022-02-03,8572229,80678
4236,2022-02-04,8594422,80917
4237,2022-02-05,8604684,81001
4238,2022-02-06,8638461,81065
4239,2022-02-07,8684246,81350
4240,2022-02-08,8754891,81541
4241,2022-02-09,8767228,81884
4242,2022-02-10,8788257,82122
4243,2022-02-11,8798006,82418
4244,2022-02-12,8802666,82502
