Unnamed: 0,date,cases,deaths,daily_cases,daily_deaths,ratio_dth_case
26123,2021-09-24,2398152,55107,6092.0,41.0,0.006730137885751806
26124,2021-09-25,2402248,55131,4096.0,24.0,0.005859375
26125,2021-09-26,2408593,55188,6345.0,57.0,0.008983451536643027
26126,2021-09-27,2411626,55204,3033.0,16.0,0.005275304978569074
26127,2021-09-28,2416683,55245,5057.0,41.0,0.008107573660272888
26128,2021-09-29,2421755,55310,5072.0,65.0,0.012815457413249211
26129,2021-09-30,2426683,55358,4928.0,48.0,0.00974025974025974
26130,2021-10-01,2432444,55416,5761.0,58.0,0.010067696580454782
26131,2021-10-02,2436048,55434,3604.0,18.0,0.004994450610432853
26132,2021-10-03,2439639,55457,3591.0,23.0,0.006404901141743247
26133,2021-10-04,2445371,55498,5732.0,41.0,0.007152826238660153
26134,2021-10-05,2449261,55531,3890.0,33.0,0.008483290488431876
26135,2021-10-06,2455444,55571,6183.0,40.0,0.006469351447517387
26136,2021-10-07,2460966,55590,5522.0,19.0,0.0034407823252444766
26137,2021-10-08,2466780,55645,5814.0,55.0,0.009459924320605434
26138,2021-10-09,2470550,55673,3770.0,28.0,0.007427055702917772
26139,2021-10-10,2472757,55698,2207.0,25.0,0.011327594019030359
26140,2021-10-11,2480082,55749,7325.0,51.0,0.006962457337883959
26141,2021-10-12,2483362,55790,3280.0,41.0,0.0125
26142,2021-10-13,2487921,55852,4559.0,62.0,0.01359947356876508
26143,2021-10-14,2492423,55898,4502.0,46.0,0.010217681030653044
26144,2021-10-15,2498646,55916,6223.0,18.0,0.0028924955809095294
26145,2021-10-16,2502914,55935,4268.0,19.0,0.004451733833177133
26146,2021-10-17,2506247,55965,3333.0,30.0,0.009000900090009001
26147,2021-10-18,2511182,56008,4935.0,43.0,0.008713272543059777
26148,2021-10-19,2514422,56038,3240.0,30.0,0.009259259259259259
26149,2021-10-20,2519197,56077,4775.0,39.0,0.008167539267015706
26150,2021-10-21,2523560,56130,4363.0,53.0,0.012147604859041943
26151,2021-10-22,2527230,56169,3670.0,39.0,0.010626702997275205
26152,2021-10-23,2530860,56199,3630.0,30.0,0.008264462809917356
26153,2021-10-24,2533155,56222,2295.0,23.0,0.010021786492374727
26154,2021-10-25,2537823,56270,4668.0,48.0,0.010282776349614395
26155,2021-10-26,2540255,56302,2432.0,32.0,0.013157894736842105
26156,2021-10-27,2544431,56341,4176.0,39.0,0.009339080459770116
26157,2021-10-28,2547865,56371,3434.0,30.0,0.008736167734420501
26158,2021-10-29,2553446,56410,5581.0,39.0,0.006987994982977961
26159,2021-10-30,2556628,56413,3182.0,3.0,0.0009428032683846638
26160,2021-10-31,2559583,56439,2955.0,26.0,0.008798646362098138
26161,2021-11-01,2564789,56510,5206.0,71.0,0.013638109873223205
26162,2021-11-02,2567747,56533,2958.0,23.0,0.00777552400270453
26163,2021-11-03,2571761,56579,4014.0,46.0,0.0114598903836572
26164,2021-11-04,2576396,56610,4635.0,31.0,0.00668824163969795
26165,2021-11-05,2581256,56660,4860.0,50.0,0.0102880658436214
26166,2021-11-06,2585365,56692,4109.0,32.0,0.007787782915551229
26167,2021-11-07,2589297,56712,3932.0,20.0,0.00508646998982706
26168,2021-11-08,2594515,56749,5218.0,37.0,0.007090839402069758
26169,2021-11-09,2598730,56793,4215.0,44.0,0.01043890865954923
26170,2021-11-10,2603833,56828,5103.0,35.0,0.006858710562414266
26171,2021-11-11,2610481,56868,6648.0,40.0,0.006016847172081829
26172,2021-11-12,2616725,56907,6244.0,39.0,0.006245996156310058
26173,2021-11-13,2622131,56922,5406.0,15.0,0.002774694783573807
26174,2021-11-14,2626522,56944,4391.0,22.0,0.00501024823502619
26175,2021-11-15,2633082,56976,6560.0,32.0,0.004878048780487805
26176,2021-11-16,2638106,57020,5024.0,44.0,0.00875796178343949
26177,2021-11-17,2644177,57053,6071.0,33.0,0.005435677812551474
26178,2021-11-18,2652280,57097,8103.0,44.0,0.005430087621868444
26179,2021-11-19,2659870,57141,7590.0,44.0,0.005797101449275362
26180,2021-11-20,2665759,57158,5889.0,17.0,0.0028867379860757344
26181,2021-11-21,2674200,57190,8441.0,32.0,0.0037910200213244877
26182,2021-11-22,2679503,57215,5303.0,25.0,0.004714312653215161
26183,2021-11-23,2685067,57250,5564.0,35.0,0.006290438533429188
26184,2021-11-24,2692142,57298,7075.0,48.0,0.006784452296819788
26185,2021-11-25,2699233,57322,7091.0,24.0,0.0033845719926667607
26186,2021-11-26,2707049,57343,7816.0,21.0,0.0026867963152507677
26187,2021-11-27,2710507,57401,3458.0,58.0,0.0167727009832273
26188,2021-11-28,2715335,57428,4828.0,27.0,0.005592377796188898
26189,2021-11-29,2722936,57477,7601.0,49.0,0.006446520194711222
26190,2021-11-30,2729595,57534,6659.0,57.0,0.008559843820393452
26191,2021-12-01,2738968,57593,9373.0,59.0,0.006294676197588819
26192,2021-12-02,2750327,57643,11359.0,50.0,0.004401795932740558
26193,2021-12-03,2761545,57695,11218.0,52.0,0.00463540738099483
26194,2021-12-04,2769624,57725,8079.0,30.0,0.003713330857779428
26195,2021-12-05,2777942,57757,8318.0,32.0,0.0038470786246693916
26196,2021-12-06,2788476,57816,10534.0,59.0,0.00560091133472565
26197,2021-12-07,2796990,57880,8514.0,64.0,0.007517030772844727
26198,2021-12-08,2806456,57934,9466.0,54.0,0.005704627086414536
26199,2021-12-09,2818175,57992,11719.0,58.0,0.004949227749808004
26200,2021-12-10,2829502,58072,11327.0,80.0,0.007062770371678291
26201,2021-12-11,2838326,58122,8824.0,50.0,0.005666364460562103
26202,2021-12-12,2846533,58168,8207.0,46.0,0.005604971365907152
26203,2021-12-13,2860036,58222,13503.0,54.0,0.003999111308598089
26204,2021-12-14,2868885,58287,8849.0,65.0,0.0073454627641541415
26205,2021-12-15,2881565,58368,12680.0,81.0,0.00638801261829653
26206,2021-12-16,2899469,58412,17904.0,44.0,0.0024575513851653264
26207,2021-12-17,2920366,58492,20897.0,80.0,0.003828300713021008
26208,2021-12-18,2934453,58540,14087.0,48.0,0.0034073968907503372
26209,2021-12-19,2960416,58600,25963.0,60.0,0.002310981011439356
26210,2021-12-20,2982994,58649,22578.0,49.0,0.002170254229781203
26211,2021-12-21,3007231,58725,24237.0,76.0,0.0031357016132359614
26212,2021-12-22,3035474,58796,28243.0,71.0,0.0025138972488758277
26213,2021-12-23,3070884,58889,35410.0,93.0,0.0026263767297373623
26214,2021-12-24,3102022,58937,31138.0,48.0,0.0015415248249727022
26215,2021-12-25,3102022,58937,0.0,0.0,
26216,2021-12-26,3184372,58980,82350.0,43.0,0.0005221615057680631
26217,2021-12-27,3221100,59119,36728.0,139.0,0.0037845785231975606
26218,2021-12-28,3268202,59169,47102.0,50.0,0.0010615260498492633
26219,2021-12-29,3330403,59336,62201.0,167.0,0.002684844295107796
26220,2021-12-30,3402190,59434,71787.0,98.0,0.0013651496789112234
