,date,cases,deaths
26096,2021-11-08,2594515,56749
26097,2021-11-09,2598730,56793
26098,2021-11-10,2603833,56828
26099,2021-11-11,2610481,56868
26100,2021-11-12,2616725,56907
26101,2021-11-13,2622131,56922
26102,2021-11-14,2626522,56944
26103,2021-11-15,2633082,56976
26104,2021-11-16,2638106,57020
26105,2021-11-17,2644177,57053
26106,2021-11-18,2652280,57097
26107,2021-11-19,2659870,57141
26108,2021-11-20,2665759,57158
26109,2021-11-21,2674200,57190
26110,2021-11-22,2679503,57215
26111,2021-11-23,2685067,57250
26112,2021-11-24,2692142,57298
26113,2021-11-25,2699233,57322
26114,2021-11-26,2707049,57343
26115,2021-11-27,2710507,57401
26116,2021-11-28,2715335,57428
26117,2021-11-29,2722936,57477
26118,2021-11-30,2729595,57534
26119,2021-12-01,2738968,57593
26120,2021-12-02,2750327,57643
26121,2021-12-03,2761545,57695
26122,2021-12-04,2769624,57725
26123,2021-12-05,2777942,57757
26124,2021-12-06,2788476,57816
26125,2021-12-07,2796990,57880
26126,2021-12-08,2806456,57934
26127,2021-12-09,2818175,57992
26128,2021-12-10,2829502,58072
26129,2021-12-11,2838326,58122
26130,2021-12-12,2846533,58168
26131,2021-12-13,2860036,58222
26132,2021-12-14,2868885,58287
26133,2021-12-15,2881565,58368
26134,2021-12-16,2899469,58412
26135,2021-12-17,2920366,58492
26136,2021-12-18,2934453,58540
26137,2021-12-19,2960416,58600
26138,2021-12-20,2982994,58649
26139,2021-12-21,3007231,58725
26140,2021-12-22,3035474,58796
26141,2021-12-23,3070884,58889
26142,2021-12-24,3102022,58937
26143,2021-12-25,3102022,58937
26144,2021-12-26,3184372,58980
26145,2021-12-27,3221100,59119
26146,2021-12-28,3268202,59169
26147,2021-12-29,3330403,59336
26148,2021-12-30,3402190,59434
26149,2021-12-31,3480280,59508
26150,2022-01-01,3517696,59585
26151,2022-01-02,3552059,59682
26152,2022-01-03,3684152,59760
26153,2022-01-04,3736399,59865
26154,2022-01-05,3812399,60023
26155,2022-01-06,3890666,60166
26156,2022-01-07,3975745,60356
26157,2022-01-08,4057133,60441
26158,2022-01-09,4147154,60611
26159,2022-01-10,4205019,60689
26160,2022-01-11,4257408,60986
26161,2022-01-12,4312866,61195
26162,2022-01-13,4374042,61433
26163,2022-01-14,4420245,61654
26164,2022-01-15,4460856,61746
26165,2022-01-16,4507714,61812
26166,2022-01-17,4547472,62073
26167,2022-01-18,4571356,62407
26168,2022-01-19,4594182,62672
26169,2022-01-20,4624257,62873
26170,2022-01-21,4653025,63098
26171,2022-01-22,4675346,63191
26172,2022-01-23,4701632,63413
26173,2022-01-24,4714010,63519
26174,2022-01-25,4728422,63824
26175,2022-01-26,4747535,64094
26176,2022-01-27,4764422,64285
26177,2022-01-28,4778737,64516
26178,2022-01-29,4790901,64718
26179,2022-01-30,4797903,64778
26180,2022-01-31,4805416,64846
26181,2022-02-01,4811937,65060
26182,2022-02-02,4821628,65257
26183,2022-02-03,4831404,65421
26184,2022-02-04,4839516,65578
26185,2022-02-05,4845280,65626
26186,2022-02-06,4852369,65760
26187,2022-02-07,4856199,65831
26188,2022-02-08,4860442,66015
26189,2022-02-09,4866194,66165
26190,2022-02-10,4873548,66276
26191,2022-02-11,4878304,66397
26192,2022-02-12,4881825,66431
