Unnamed: 0,state,date,cases,deaths,daily_cases,daily_deaths,ratio_dth_case
28383,New York,2021-11-27,2710507,57401,3458.0,58.0,0.0167727009832273
28384,New York,2021-11-28,2715335,57428,4828.0,27.0,0.005592377796188898
28385,New York,2021-11-29,2722936,57477,7601.0,49.0,0.006446520194711222
28386,New York,2021-11-30,2729595,57534,6659.0,57.0,0.008559843820393452
28387,New York,2021-12-01,2738968,57593,9373.0,59.0,0.006294676197588819
28388,New York,2021-12-02,2750327,57643,11359.0,50.0,0.004401795932740558
28389,New York,2021-12-03,2761545,57695,11218.0,52.0,0.00463540738099483
28390,New York,2021-12-04,2769624,57725,8079.0,30.0,0.003713330857779428
28391,New York,2021-12-05,2777942,57757,8318.0,32.0,0.0038470786246693916
28392,New York,2021-12-06,2788476,57816,10534.0,59.0,0.00560091133472565
28393,New York,2021-12-07,2796990,57880,8514.0,64.0,0.007517030772844727
28394,New York,2021-12-08,2806456,57934,9466.0,54.0,0.005704627086414536
28395,New York,2021-12-09,2818175,57992,11719.0,58.0,0.004949227749808004
28396,New York,2021-12-10,2829502,58072,11327.0,80.0,0.007062770371678291
28397,New York,2021-12-11,2838326,58122,8824.0,50.0,0.005666364460562103
28398,New York,2021-12-12,2846533,58168,8207.0,46.0,0.005604971365907152
28399,New York,2021-12-13,2860036,58222,13503.0,54.0,0.003999111308598089
28400,New York,2021-12-14,2868885,58287,8849.0,65.0,0.0073454627641541415
28401,New York,2021-12-15,2881565,58368,12680.0,81.0,0.00638801261829653
28402,New York,2021-12-16,2899469,58412,17904.0,44.0,0.0024575513851653264
28403,New York,2021-12-17,2920366,58492,20897.0,80.0,0.003828300713021008
28404,New York,2021-12-18,2934453,58540,14087.0,48.0,0.0034073968907503372
28405,New York,2021-12-19,2960416,58600,25963.0,60.0,0.002310981011439356
28406,New York,2021-12-20,2982994,58649,22578.0,49.0,0.002170254229781203
28407,New York,2021-12-21,3007231,58725,24237.0,76.0,0.0031357016132359614
28408,New York,2021-12-22,3035474,58796,28243.0,71.0,0.0025138972488758277
28409,New York,2021-12-23,3070884,58889,35410.0,93.0,0.0026263767297373623
28410,New York,2021-12-24,3102022,58937,31138.0,48.0,0.0015415248249727022
28411,New York,2021-12-25,3102022,58937,0.0,0.0,
28412,New York,2021-12-26,3184372,58980,82350.0,43.0,0.0005221615057680631
28413,New York,2021-12-27,3221100,59119,36728.0,139.0,0.0037845785231975606
28414,New York,2021-12-28,3268202,59169,47102.0,50.0,0.0010615260498492633
28415,New York,2021-12-29,3330403,59336,62201.0,167.0,0.002684844295107796
28416,New York,2021-12-30,3402190,59434,71787.0,98.0,0.0013651496789112234
28417,New York,2021-12-31,3480280,59508,78090.0,74.0,0.0009476245357920349
28418,New York,2022-01-01,3517696,59585,37416.0,77.0,0.0020579431259354288
28419,New York,2022-01-02,3552059,59682,34363.0,97.0,0.002822803596892006
28420,New York,2022-01-03,3684152,59760,132093.0,78.0,0.000590493061706525
28421,New York,2022-01-04,3736399,59865,52247.0,105.0,0.0020096847665894693
28422,New York,2022-01-05,3812399,60023,76000.0,158.0,0.0020789473684210526
28423,New York,2022-01-06,3890666,60166,78267.0,143.0,0.0018270791010259752
28424,New York,2022-01-07,3975745,60356,85079.0,190.0,0.0022332185380646223
28425,New York,2022-01-08,4057133,60441,81388.0,85.0,0.0010443800068806212
28426,New York,2022-01-09,4147154,60611,90021.0,170.0,0.001888448250963664
28427,New York,2022-01-10,4205019,60689,57865.0,78.0,0.0013479650911604596
28428,New York,2022-01-11,4257408,60986,52389.0,297.0,0.005669129015633052
28429,New York,2022-01-12,4312866,61195,55458.0,209.0,0.0037686176926683256
28430,New York,2022-01-13,4374042,61433,61176.0,238.0,0.0038904145416503205
28431,New York,2022-01-14,4420245,61654,46203.0,221.0,0.004783239183602796
28432,New York,2022-01-15,4460856,61746,40611.0,92.0,0.0022653960749550615
28433,New York,2022-01-16,4507714,61812,46858.0,66.0,0.0014085108199240258
28434,New York,2022-01-17,4547472,62073,39758.0,261.0,0.006564716535036974
28435,New York,2022-01-18,4571356,62407,23884.0,334.0,0.013984257243342823
28436,New York,2022-01-19,4594182,62672,22826.0,265.0,0.011609568036449663
28437,New York,2022-01-20,4624257,62873,30075.0,201.0,0.006683291770573566
28438,New York,2022-01-21,4653025,63098,28768.0,225.0,0.00782119021134594
28439,New York,2022-01-22,4675346,63191,22321.0,93.0,0.004166479996415931
28440,New York,2022-01-23,4701632,63413,26286.0,222.0,0.008445560374343757
28441,New York,2022-01-24,4714010,63519,12378.0,106.0,0.00856358054613023
28442,New York,2022-01-25,4728422,63824,14412.0,305.0,0.02116291978906467
28443,New York,2022-01-26,4747535,64094,19113.0,270.0,0.014126510751844295
28444,New York,2022-01-27,4764422,64285,16887.0,191.0,0.01131047551370877
28445,New York,2022-01-28,4778737,64516,14315.0,231.0,0.01613691931540342
28446,New York,2022-01-29,4790901,64718,12164.0,202.0,0.01660637948043407
28447,New York,2022-01-30,4797903,64778,7002.0,60.0,0.00856898029134533
28448,New York,2022-01-31,4805416,64846,7513.0,68.0,0.009050978304272594
28449,New York,2022-02-01,4811937,65060,6521.0,214.0,0.032817052599294586
28450,New York,2022-02-02,4821628,65257,9691.0,197.0,0.02032813951088639
28451,New York,2022-02-03,4831404,65421,9776.0,164.0,0.016775777414075287
28452,New York,2022-02-04,4839516,65578,8112.0,157.0,0.019354043392504933
28453,New York,2022-02-05,4845280,65626,5764.0,48.0,0.008327550312283136
28454,New York,2022-02-06,4852369,65760,7089.0,134.0,0.018902525038792497
28455,New York,2022-02-07,4856199,65831,3830.0,71.0,0.018537859007832898
28456,New York,2022-02-08,4860442,66015,4243.0,184.0,0.043365543247702094
28457,New York,2022-02-09,4866194,66165,5752.0,150.0,0.0260778859527121
28458,New York,2022-02-10,4873548,66276,7354.0,111.0,0.015093826488985586
28459,New York,2022-02-11,4878304,66397,4756.0,121.0,0.025441547518923465
28460,New York,2022-02-12,4881825,66431,3521.0,34.0,0.009656347628514627
28461,New York,2022-02-13,4886180,66523,4355.0,92.0,0.021125143513203215
28462,New York,2022-02-14,4888634,66554,2454.0,31.0,0.01263243683781581
28463,New York,2022-02-15,4890903,66689,2269.0,135.0,0.059497576024680476
28464,New York,2022-02-16,4895155,66768,4252.0,79.0,0.018579492003762934
28465,New York,2022-02-17,4898887,66841,3732.0,73.0,0.019560557341907824
28466,New York,2022-02-18,4903700,66919,4813.0,78.0,0.016206108456264284
28467,New York,2022-02-19,4906178,66939,2478.0,20.0,0.008071025020177562
28468,New York,2022-02-20,4908315,66966,2137.0,27.0,0.012634534394010294
28469,New York,2022-02-21,4910920,67034,2605.0,68.0,0.026103646833013437
28470,New York,2022-02-22,4912831,67103,1911.0,69.0,0.03610675039246468
28471,New York,2022-02-23,4915054,67161,2223.0,58.0,0.026090868196131354
28472,New York,2022-02-24,4917723,67220,2669.0,59.0,0.02210565754964406
28473,New York,2022-02-25,4920073,67275,2350.0,55.0,0.023404255319148935
28474,New York,2022-02-26,4921916,67300,1843.0,25.0,0.013564839934888768
28475,New York,2022-02-27,4924032,67344,2116.0,44.0,0.020793950850661626
28476,New York,2022-02-28,4925221,67358,1189.0,14.0,0.011774600504625737
28477,New York,2022-03-01,4926708,67409,1487.0,51.0,0.03429724277067922
28478,New York,2022-03-02,4928597,67447,1889.0,38.0,0.02011646373742721
28479,New York,2022-03-03,4930987,67479,2390.0,32.0,0.013389121338912133
28480,New York,2022-03-04,4931337,67511,350.0,32.0,0.09142857142857143
28481,New York,2022-03-05,4934709,67523,3372.0,12.0,0.0035587188612099642
28482,New York,2022-03-06,4937052,67556,2343.0,33.0,0.014084507042253521
28483,New York,2022-03-07,4938085,67571,1033.0,15.0,0.01452081316553727
28484,New York,2022-03-08,4939110,67607,1025.0,36.0,0.0351219512195122
28485,New York,2022-03-09,4940801,67611,1691.0,4.0,0.002365464222353637
28486,New York,2022-03-10,4942548,67619,1747.0,8.0,0.0045792787635947334
28487,New York,2022-03-11,4944777,67643,2229.0,24.0,0.010767160161507403
28488,New York,2022-03-12,4946173,67657,1396.0,14.0,0.01002865329512894
28489,New York,2022-03-13,4948375,67682,2202.0,25.0,0.011353315168029064
28490,New York,2022-03-14,4949357,67688,982.0,6.0,0.006109979633401222
28491,New York,2022-03-15,4952485,67724,3128.0,36.0,0.011508951406649617
28492,New York,2022-03-16,4954524,67764,2039.0,40.0,0.0196174595389897
28493,New York,2022-03-17,4956880,67792,2356.0,28.0,0.011884550084889643
28494,New York,2022-03-18,4958932,67810,2052.0,18.0,0.008771929824561403
28495,New York,2022-03-19,4961120,67813,2188.0,3.0,0.0013711151736745886
28496,New York,2022-03-20,4963787,67817,2667.0,4.0,0.0014998125234345708
28497,New York,2022-03-21,4964964,67822,1177.0,5.0,0.004248088360237893
28498,New York,2022-03-22,4966567,67842,1603.0,20.0,0.012476606363069246
28499,New York,2022-03-23,4967118,67862,551.0,20.0,0.036297640653357534
