Unnamed: 0,date,cases,deaths,daily_cases,daily_deaths,ratio_dth_case
35353,2021-09-24,4031717,63656,13855.0,403.0,0.029086972212197762
35354,2021-09-25,4044157,63934,12440.0,278.0,0.02234726688102894
35355,2021-09-26,4049421,64074,5264.0,140.0,0.026595744680851064
35356,2021-09-27,4055335,64192,5914.0,118.0,0.019952654717619207
35357,2021-09-28,4070550,64456,15215.0,264.0,0.017351298061123892
35358,2021-09-29,4083230,64851,12680.0,395.0,0.031151419558359622
35359,2021-09-30,4094242,65203,11012.0,352.0,0.03196512895023611
35360,2021-10-01,4105155,65529,10913.0,326.0,0.02987262897461743
35361,2021-10-02,4113045,65785,7890.0,256.0,0.03244613434727503
35362,2021-10-03,4115929,65914,2884.0,129.0,0.04472954230235784
35363,2021-10-04,4118909,66044,2980.0,130.0,0.0436241610738255
35364,2021-10-05,4129159,66318,10250.0,274.0,0.02673170731707317
35365,2021-10-06,4142571,66681,13412.0,363.0,0.027065314643602744
35366,2021-10-07,4151459,66933,8888.0,252.0,0.028352835283528353
35367,2021-10-08,4160434,66983,8975.0,50.0,0.005571030640668524
35368,2021-10-09,4166366,66986,5932.0,3.0,0.0005057316250842886
35369,2021-10-10,4168155,66988,1789.0,2.0,0.0011179429849077697
35370,2021-10-11,4170825,67044,2670.0,56.0,0.020973782771535582
35371,2021-10-12,4180691,67062,9866.0,18.0,0.0018244475978106628
35372,2021-10-13,4190272,68245,9581.0,1183.0,0.12347354138398914
35373,2021-10-14,4196622,68467,6350.0,222.0,0.03496062992125984
35374,2021-10-15,4203461,68723,6839.0,256.0,0.037432373153969876
35375,2021-10-16,4209351,68935,5890.0,212.0,0.03599320882852292
35376,2021-10-17,4210057,69034,706.0,99.0,0.14022662889518414
35377,2021-10-18,4212332,69103,2275.0,69.0,0.03032967032967033
35378,2021-10-19,4219598,69304,7266.0,201.0,0.027663088356729974
35379,2021-10-20,4225458,69565,5860.0,261.0,0.04453924914675768
35380,2021-10-21,4230145,69795,4687.0,230.0,0.04907190100277363
35381,2021-10-22,4235629,70025,5484.0,230.0,0.041940189642596645
35382,2021-10-23,4239851,70202,4222.0,177.0,0.041923259118901
35383,2021-10-24,4241461,70263,1610.0,61.0,0.037888198757763975
35384,2021-10-25,4243351,70335,1890.0,72.0,0.0380952380952381
35385,2021-10-26,4249627,70486,6276.0,151.0,0.024059910771191843
35386,2021-10-27,4254582,70718,4955.0,232.0,0.04682139253279516
35387,2021-10-28,4259148,70886,4566.0,168.0,0.03679369250985545
35388,2021-10-29,4264553,71075,5405.0,189.0,0.03496762257169288
35389,2021-10-30,4268892,71139,4339.0,64.0,0.014749942383037565
35390,2021-10-31,4269621,71193,729.0,54.0,0.07407407407407407
35391,2021-11-01,4270837,71262,1216.0,69.0,0.05674342105263158
35392,2021-11-02,4275743,71380,4906.0,118.0,0.02405218100285365
35393,2021-11-03,4280588,71537,4845.0,157.0,0.03240454076367389
35394,2021-11-04,4283934,71666,3346.0,129.0,0.03855349671249253
35395,2021-11-05,4287456,71802,3522.0,136.0,0.03861442362294151
35396,2021-11-06,4290453,71914,2997.0,112.0,0.0373707040373707
35397,2021-11-07,4291659,71957,1206.0,43.0,0.03565505804311774
35398,2021-11-08,4293259,72009,1600.0,52.0,0.0325
35399,2021-11-09,4298123,72111,4864.0,102.0,0.020970394736842105
35400,2021-11-10,4302590,72130,4467.0,19.0,0.004253413924334005
35401,2021-11-11,4306504,72417,3914.0,287.0,0.07332652018395504
35402,2021-11-12,4309462,72687,2958.0,270.0,0.09127789046653144
35403,2021-11-13,4313394,72760,3932.0,73.0,0.018565615462868768
