,date,cases,deaths
35300,2021-11-08,4293259,72009
35301,2021-11-09,4298123,72111
35302,2021-11-10,4302590,72130
35303,2021-11-11,4306504,72417
35304,2021-11-12,4309462,72687
35305,2021-11-13,4313394,72760
35306,2021-11-14,4314008,72789
35307,2021-11-15,4315392,72838
35308,2021-11-16,4319752,72909
35309,2021-11-17,4324674,73038
35310,2021-11-18,4329462,73176
35311,2021-11-19,4333932,73276
35312,2021-11-20,4336683,73351
35313,2021-11-21,4337690,73378
35314,2021-11-22,4339696,73424
35315,2021-11-23,4343363,73518
35316,2021-11-24,4347776,73605
35317,2021-11-25,4352335,73605
35318,2021-11-26,4352989,73605
35319,2021-11-27,4353549,73605
35320,2021-11-28,4353909,73605
35321,2021-11-29,4357031,73754
35322,2021-11-30,4363472,73828
35323,2021-12-01,4367092,73928
35324,2021-12-02,4372161,74033
35325,2021-12-03,4376851,74107
35326,2021-12-04,4384997,74169
35327,2021-12-05,4390228,74198
35328,2021-12-06,4394102,74217
35329,2021-12-07,4399057,74278
35330,2021-12-08,4402906,74370
35331,2021-12-09,4407007,74452
35332,2021-12-10,4412024,74555
35333,2021-12-11,4416728,74578
35334,2021-12-12,4419318,74607
35335,2021-12-13,4423555,74632
35336,2021-12-14,4428196,74707
35337,2021-12-15,4433142,74796
35338,2021-12-16,4438877,74897
35339,2021-12-17,4444868,74992
35340,2021-12-18,4452931,75056
35341,2021-12-19,4460356,75077
35342,2021-12-20,4470968,75099
35343,2021-12-21,4481333,75156
35344,2021-12-22,4491454,75238
35345,2021-12-23,4503930,75322
35346,2021-12-24,4517701,75322
35347,2021-12-25,4533037,75322
35348,2021-12-26,4545596,75322
35349,2021-12-27,4562927,75485
35350,2021-12-28,4577722,75561
35351,2021-12-29,4592008,75639
35352,2021-12-30,4607608,75744
35353,2021-12-31,4623370,75744
35354,2022-01-01,4675575,75744
35355,2022-01-02,4730835,75744
35356,2022-01-03,4791710,75967
35357,2022-01-04,4845263,76031
35358,2022-01-05,4894208,76132
35359,2022-01-06,4939175,76260
35360,2022-01-07,4993438,76365
35361,2022-01-08,5047390,76461
35362,2022-01-09,5090181,76502
35363,2022-01-10,5137418,76530
35364,2022-01-11,5194077,76643
35365,2022-01-12,5269894,76790
35366,2022-01-13,5344385,76909
35367,2022-01-14,5402259,76919
35368,2022-01-15,5472025,77084
35369,2022-01-16,5522176,77218
35370,2022-01-17,5590444,77221
35371,2022-01-18,5644397,77362
35372,2022-01-19,5700444,77515
35373,2022-01-20,5746859,77698
35374,2022-01-21,5845214,77894
35375,2022-01-22,5905609,78055
35376,2022-01-23,5962517,78118
35377,2022-01-24,6004502,78180
35378,2022-01-25,6050828,78332
35379,2022-01-26,6083164,78624
35380,2022-01-27,6121818,78855
35381,2022-01-28,6162552,79067
35382,2022-01-29,6201110,79267
35383,2022-01-30,6224480,79374
35384,2022-01-31,6258336,79447
35385,2022-02-01,6300033,79699
35386,2022-02-02,6328979,79993
35387,2022-02-03,6359214,80292
35388,2022-02-04,6381378,80461
35389,2022-02-05,6399867,80662
35390,2022-02-06,6416762,80700
35391,2022-02-07,6436262,80771
35392,2022-02-08,6451449,81064
35393,2022-02-09,6466862,81359
35394,2022-02-10,6484110,81655
35395,2022-02-11,6498479,81897
35396,2022-02-12,6509857,82060
