Unnamed: 0,state,date,cases,deaths,daily_cases,daily_deaths,ratio_dth_case
38406,Texas,2021-11-27,4353549,73605,560.0,0.0,0.0
38407,Texas,2021-11-28,4353909,73605,360.0,0.0,0.0
38408,Texas,2021-11-29,4357031,73754,3122.0,149.0,0.04772581678411275
38409,Texas,2021-11-30,4363472,73828,6441.0,74.0,0.011488899239248564
38410,Texas,2021-12-01,4367092,73928,3620.0,100.0,0.027624309392265192
38411,Texas,2021-12-02,4372161,74033,5069.0,105.0,0.020714144801736042
38412,Texas,2021-12-03,4376851,74107,4690.0,74.0,0.01577825159914712
38413,Texas,2021-12-04,4384997,74169,8146.0,62.0,0.007611097471151486
38414,Texas,2021-12-05,4390228,74198,5231.0,29.0,0.005543873064423628
38415,Texas,2021-12-06,4394102,74217,3874.0,19.0,0.00490449148167269
38416,Texas,2021-12-07,4399057,74278,4955.0,61.0,0.01231079717457114
38417,Texas,2021-12-08,4402906,74370,3849.0,92.0,0.02390231228890621
38418,Texas,2021-12-09,4407007,74452,4101.0,82.0,0.01999512314069739
38419,Texas,2021-12-10,4412024,74555,5017.0,103.0,0.020530197329081123
38420,Texas,2021-12-11,4416728,74578,4704.0,23.0,0.004889455782312925
38421,Texas,2021-12-12,4419318,74607,2590.0,29.0,0.011196911196911196
38422,Texas,2021-12-13,4423555,74632,4237.0,25.0,0.0059004012272834555
38423,Texas,2021-12-14,4428196,74707,4641.0,75.0,0.01616031027795734
38424,Texas,2021-12-15,4433142,74796,4946.0,89.0,0.017994338859684593
38425,Texas,2021-12-16,4438877,74897,5735.0,101.0,0.01761115954664342
38426,Texas,2021-12-17,4444868,74992,5991.0,95.0,0.01585711901185111
38427,Texas,2021-12-18,4452931,75056,8063.0,64.0,0.007937492248542725
38428,Texas,2021-12-19,4460356,75077,7425.0,21.0,0.0028282828282828283
38429,Texas,2021-12-20,4470968,75099,10612.0,22.0,0.0020731247644176403
38430,Texas,2021-12-21,4481333,75156,10365.0,57.0,0.005499276410998553
38431,Texas,2021-12-22,4491454,75238,10121.0,82.0,0.008101966208872642
38432,Texas,2021-12-23,4503930,75322,12476.0,84.0,0.006732927220262905
38433,Texas,2021-12-24,4517701,75322,13771.0,0.0,0.0
38434,Texas,2021-12-25,4533037,75322,15336.0,0.0,0.0
38435,Texas,2021-12-26,4545596,75322,12559.0,0.0,0.0
38436,Texas,2021-12-27,4562927,75485,17331.0,163.0,0.009405112226645895
38437,Texas,2021-12-28,4577722,75561,14795.0,76.0,0.005136870564379858
38438,Texas,2021-12-29,4592008,75639,14286.0,78.0,0.005459890802183957
38439,Texas,2021-12-30,4607608,75744,15600.0,105.0,0.006730769230769231
38440,Texas,2021-12-31,4623370,75744,15762.0,0.0,0.0
38441,Texas,2022-01-01,4675575,75744,52205.0,0.0,0.0
38442,Texas,2022-01-02,4730835,75744,55260.0,0.0,0.0
38443,Texas,2022-01-03,4791710,75967,60875.0,223.0,0.0036632443531827517
38444,Texas,2022-01-04,4845263,76031,53553.0,64.0,0.0011950777734207234
38445,Texas,2022-01-05,4894208,76132,48945.0,101.0,0.0020635407089590356
38446,Texas,2022-01-06,4939175,76260,44967.0,128.0,0.0028465319011719706
38447,Texas,2022-01-07,4993438,76365,54263.0,105.0,0.0019350201794961577
38448,Texas,2022-01-08,5047390,76461,53952.0,96.0,0.0017793594306049821
38449,Texas,2022-01-09,5090181,76502,42791.0,41.0,0.0009581454044074689
38450,Texas,2022-01-10,5137418,76530,47237.0,28.0,0.0005927556788111014
38451,Texas,2022-01-11,5194077,76643,56659.0,113.0,0.0019943874759526287
38452,Texas,2022-01-12,5269894,76790,75817.0,147.0,0.0019388791432000739
38453,Texas,2022-01-13,5344385,76909,74491.0,119.0,0.0015975084238364365
38454,Texas,2022-01-14,5402259,76919,57874.0,10.0,0.00017278916266371774
38455,Texas,2022-01-15,5472025,77084,69766.0,165.0,0.002365048877676805
38456,Texas,2022-01-16,5522176,77218,50151.0,134.0,0.0026719307690773863
38457,Texas,2022-01-17,5590444,77221,68268.0,3.0,4.394445420987871e-05
38458,Texas,2022-01-18,5644397,77362,53953.0,141.0,0.0026133857246121626
38459,Texas,2022-01-19,5700444,77515,56047.0,153.0,0.002729851731582422
38460,Texas,2022-01-20,5746859,77698,46415.0,183.0,0.0039426909404287405
38461,Texas,2022-01-21,5845214,77894,98355.0,196.0,0.001992781251588633
38462,Texas,2022-01-22,5905609,78055,60395.0,161.0,0.0026657835913569
38463,Texas,2022-01-23,5962517,78118,56908.0,63.0,0.0011070499753988894
38464,Texas,2022-01-24,6004502,78180,41985.0,62.0,0.0014767178754317017
38465,Texas,2022-01-25,6050828,78332,46326.0,152.0,0.0032810948495445324
38466,Texas,2022-01-26,6083164,78624,32336.0,292.0,0.009030183077684314
38467,Texas,2022-01-27,6121818,78855,38654.0,231.0,0.00597609561752988
38468,Texas,2022-01-28,6162552,79067,40734.0,212.0,0.005204497471399813
38469,Texas,2022-01-29,6201110,79267,38558.0,200.0,0.0051869910265055245
38470,Texas,2022-01-30,6224480,79374,23370.0,107.0,0.00457851946940522
