location_name,forecast_date,target,target_end_date,location,type,quantile,value
US,2022-05-15,1 wk ahead cum death,2022-05-21,US,quantile,0.01,1006498.3716055254
US,2022-05-15,2 wk ahead cum death,2022-05-28,US,quantile,0.01,1013481.8488674059
US,2022-05-15,3 wk ahead cum death,2022-06-04,US,quantile,0.01,1020518.1549828149
US,2022-05-15,4 wk ahead cum death,2022-06-11,US,quantile,0.01,1027603.6208111403
US,2022-05-15,5 wk ahead cum death,2022-06-18,US,quantile,0.01,1034682.7225423009
US,2022-05-15,6 wk ahead cum death,2022-06-25,US,quantile,0.01,1041689.8947688269
US,2022-05-15,7 wk ahead cum death,2022-07-02,US,quantile,0.01,1048688.5081929667
US,2022-05-15,8 wk ahead cum death,2022-07-09,US,quantile,0.01,1055677.354631937
US,2022-05-15,9 wk ahead cum death,2022-07-16,US,quantile,0.01,1062655.3523252986
US,2022-05-15,10 wk ahead cum death,2022-07-23,US,quantile,0.01,1069621.5164731718
US,2022-05-15,11 wk ahead cum death,2022-07-30,US,quantile,0.01,1076574.9724947982
US,2022-05-15,12 wk ahead cum death,2022-08-06,US,quantile,0.01,1083514.930034837
US,2022-05-15,13 wk ahead cum death,2022-08-13,US,quantile,0.01,1090440.6768877772
US,2022-05-15,14 wk ahead cum death,2022-08-20,US,quantile,0.01,1097351.5865121337
US,2022-05-15,1 wk ahead inc death,2022-05-21,US,quantile,0.01,6928.371605525389
US,2022-05-15,2 wk ahead inc death,2022-05-28,US,quantile,0.01,6983.477261880562
US,2022-05-15,3 wk ahead inc death,2022-06-04,US,quantile,0.01,7024.256675954834
US,2022-05-15,4 wk ahead inc death,2022-06-11,US,quantile,0.01,7020.145441726223
US,2022-05-15,5 wk ahead inc death,2022-06-18,US,quantile,0.01,7014.396533536613
US,2022-05-15,6 wk ahead inc death,2022-06-25,US,quantile,0.01,7007.172226525918
US,2022-05-15,7 wk ahead inc death,2022-07-02,US,quantile,0.01,6998.613424139768
US,2022-05-15,8 wk ahead inc death,2022-07-09,US,quantile,0.01,6988.846438970417
US,2022-05-15,9 wk ahead inc death,2022-07-16,US,quantile,0.01,6977.997693361565
US,2022-05-15,10 wk ahead inc death,2022-07-23,US,quantile,0.01,6966.164147873148
US,2022-05-15,11 wk ahead inc death,2022-07-30,US,quantile,0.01,6953.456021626368
US,2022-05-15,12 wk ahead inc death,2022-08-06,US,quantile,0.01,6939.957540038824
US,2022-05-15,13 wk ahead inc death,2022-08-13,US,quantile,0.01,6925.746852940172
US,2022-05-15,14 wk ahead inc death,2022-08-20,US,quantile,0.01,6910.909624356478
US,2022-05-15,1 wk ahead cum death,2022-05-21,US,quantile,0.025,1006752.8551388097
US,2022-05-15,2 wk ahead cum death,2022-05-28,US,quantile,0.025,1013966.0309388958
US,2022-05-15,3 wk ahead cum death,2022-06-04,US,quantile,0.025,1021204.4159368292
US,2022-05-15,4 wk ahead cum death,2022-06-11,US,quantile,0.025,1028462.6059045192
US,2022-05-15,5 wk ahead cum death,2022-06-18,US,quantile,0.025,1035735.7106515665
US,2022-05-15,6 wk ahead cum death,2022-06-25,US,quantile,0.025,1043019.3148641106
US,2022-05-15,7 wk ahead cum death,2022-07-02,US,quantile,0.025,1050309.4518734042
US,2022-05-15,8 wk ahead cum death,2022-07-09,US,quantile,0.025,1057602.5564486682
US,2022-05-15,9 wk ahead cum death,2022-07-16,US,quantile,0.025,1064895.4357050646
US,2022-05-15,10 wk ahead cum death,2022-07-23,US,quantile,0.025,1072185.2297737845
US,2022-05-15,11 wk ahead cum death,2022-07-30,US,quantile,0.025,1079469.3911736482
US,2022-05-15,12 wk ahead cum death,2022-08-06,US,quantile,0.025,1086745.6434400633
US,2022-05-15,13 wk ahead cum death,2022-08-13,US,quantile,0.025,1094011.9628683876
US,2022-05-15,14 wk ahead cum death,2022-08-20,US,quantile,0.025,1101266.548831337
US,2022-05-15,1 wk ahead inc death,2022-05-21,US,quantile,0.025,7182.855138809607
US,2022-05-15,2 wk ahead inc death,2022-05-28,US,quantile,0.025,7213.1758000861855
US,2022-05-15,3 wk ahead inc death,2022-06-04,US,quantile,0.025,7238.384997933358
US,2022-05-15,4 wk ahead inc death,2022-06-11,US,quantile,0.025,7258.189967690036
US,2022-05-15,5 wk ahead inc death,2022-06-18,US,quantile,0.025,7273.104747047275
US,2022-05-15,6 wk ahead inc death,2022-06-25,US,quantile,0.025,7283.604212544114
US,2022-05-15,7 wk ahead inc death,2022-07-02,US,quantile,0.025,7290.137009293586
US,2022-05-15,8 wk ahead inc death,2022-07-09,US,quantile,0.025,7297.167630853131
US,2022-05-15,9 wk ahead inc death,2022-07-16,US,quantile,0.025,7326.103788396344
US,2022-05-15,10 wk ahead inc death,2022-07-23,US,quantile,0.025,7344.939022290707
US,2022-05-15,11 wk ahead inc death,2022-07-30,US,quantile,0.025,7333.650355518609
US,2022-05-15,12 wk ahead inc death,2022-08-06,US,quantile,0.025,7320.993814615533
US,2022-05-15,13 wk ahead inc death,2022-08-13,US,quantile,0.025,7307.115926640481
US,2022-05-15,14 wk ahead inc death,2022-08-20,US,quantile,0.025,7292.143075510115
US,2022-05-15,1 wk ahead cum death,2022-05-21,US,quantile,0.05,1007018.753962135
US,2022-05-15,2 wk ahead cum death,2022-05-28,US,quantile,0.05,1014518.9222571785
US,2022-05-15,3 wk ahead cum death,2022-06-04,US,quantile,0.05,1022077.0134652887
US,2022-05-15,4 wk ahead cum death,2022-06-11,US,quantile,0.05,1029684.1285001903
US,2022-05-15,5 wk ahead cum death,2022-06-18,US,quantile,0.05,1037298.5227302525
US,2022-05-15,6 wk ahead cum death,2022-06-25,US,quantile,0.05,1044913.3963035857
US,2022-05-15,7 wk ahead cum death,2022-07-02,US,quantile,0.05,1052538.2818427125
US,2022-05-15,8 wk ahead cum death,2022-07-09,US,quantile,0.05,1060168.6799197518
US,2022-05-15,9 wk ahead cum death,2022-07-16,US,quantile,0.05,1067800.5672669257
US,2022-05-15,10 wk ahead cum death,2022-07-23,US,quantile,0.05,1075430.3536976562
US,2022-05-15,11 wk ahead cum death,2022-07-30,US,quantile,0.05,1083054.8395574656
US,2022-05-15,12 wk ahead cum death,2022-08-06,US,quantile,0.05,1090671.1803519481
US,2022-05-15,13 wk ahead cum death,2022-08-13,US,quantile,0.05,1098276.8535039546
US,2022-05-15,14 wk ahead cum death,2022-08-20,US,quantile,0.05,1105869.620430929
US,2022-05-15,1 wk ahead inc death,2022-05-21,US,quantile,0.05,7448.753962134942
US,2022-05-15,2 wk ahead inc death,2022-05-28,US,quantile,0.05,7503.44191724509
US,2022-05-15,3 wk ahead inc death,2022-06-04,US,quantile,0.05,7552.403881837241
US,2022-05-15,4 wk ahead inc death,2022-06-11,US,quantile,0.05,7579.221513988264
US,2022-05-15,5 wk ahead inc death,2022-06-18,US,quantile,0.05,7599.839688616805
US,2022-05-15,6 wk ahead inc death,2022-06-25,US,quantile,0.05,7614.873573333211
US,2022-05-15,7 wk ahead inc death,2022-07-02,US,quantile,0.05,7624.885539126769
US,2022-05-15,8 wk ahead inc death,2022-07-09,US,quantile,0.05,7636.84327572491
US,2022-05-15,9 wk ahead inc death,2022-07-16,US,quantile,0.05,7652.39221064914
US,2022-05-15,10 wk ahead inc death,2022-07-23,US,quantile,0.05,7664.210034191608
US,2022-05-15,11 wk ahead inc death,2022-07-30,US,quantile,0.05,7679.066694062203
US,2022-05-15,12 wk ahead inc death,2022-08-06,US,quantile,0.05,7688.055910182744
US,2022-05-15,13 wk ahead inc death,2022-08-13,US,quantile,0.05,7674.707801209763
US,2022-05-15,14 wk ahead inc death,2022-08-20,US,quantile,0.05,7659.645395848155
US,2022-05-15,1 wk ahead cum death,2022-05-21,US,quantile,0.1,1007318.5680019989
US,2022-05-15,2 wk ahead cum death,2022-05-28,US,quantile,0.1,1015085.5345451266
US,2022-05-15,3 wk ahead cum death,2022-06-04,US,quantile,0.1,1022945.966098962
US,2022-05-15,4 wk ahead cum death,2022-06-11,US,quantile,0.1,1030866.6933132967
US,2022-05-15,5 wk ahead cum death,2022-06-18,US,quantile,0.1,1038826.5842812598
US,2022-05-15,6 wk ahead cum death,2022-06-25,US,quantile,0.1,1046868.9460226605
US,2022-05-15,7 wk ahead cum death,2022-07-02,US,quantile,0.1,1054962.2356667682
US,2022-05-15,8 wk ahead cum death,2022-07-09,US,quantile,0.1,1063101.3531613364
US,2022-05-15,9 wk ahead cum death,2022-07-16,US,quantile,0.1,1071281.4060260516
US,2022-05-15,10 wk ahead cum death,2022-07-23,US,quantile,0.1,1079497.7640262968
US,2022-05-15,11 wk ahead cum death,2022-07-30,US,quantile,0.1,1087741.300320514
US,2022-05-15,12 wk ahead cum death,2022-08-06,US,quantile,0.1,1095933.7691973257
US,2022-05-15,13 wk ahead cum death,2022-08-13,US,quantile,0.1,1104102.7951229396
US,2022-05-15,14 wk ahead cum death,2022-08-20,US,quantile,0.1,1112277.2511190556
US,2022-05-15,1 wk ahead inc death,2022-05-21,US,quantile,0.1,7748.568001998961
US,2022-05-15,2 wk ahead inc death,2022-05-28,US,quantile,0.1,7793.795400326699
US,2022-05-15,3 wk ahead inc death,2022-06-04,US,quantile,0.1,7856.613616310805
US,2022-05-15,4 wk ahead inc death,2022-06-11,US,quantile,0.1,7924.24709890224
US,2022-05-15,5 wk ahead inc death,2022-06-18,US,quantile,0.1,7986.077847997285
US,2022-05-15,6 wk ahead inc death,2022-06-25,US,quantile,0.1,8039.851835877448
US,2022-05-15,7 wk ahead inc death,2022-07-02,US,quantile,0.1,8069.493886807561
US,2022-05-15,8 wk ahead inc death,2022-07-09,US,quantile,0.1,8095.057650209964
US,2022-05-15,9 wk ahead inc death,2022-07-16,US,quantile,0.1,8108.967979263887
